Groups,ALB,HBB,IGL1,HBA1,APOA1,TF,A2M,SERPINA1,ICA,HPX,FGA,KNG1,FGB,HP,C3,FGG,APOH,ITIH4,GC,SERPINA6,SERPINA3,VNN3,A1BG,PZP,CLU,TTR,AHSG
0,4136010000,380310000,442505799,286768000,509777000,539430000,406242090,377043000,524360000,82728300,82728300,134485900,127816000,9196000,124443080,97192300,75215100,289758000,79508700,370175000,47121525,37400700,32392100,37578639,65821600,64084600,40405727.6
0,5740070000,917174000,875378895,710006000,443511000,510062000,505911000,463952000,358812000,228837000,228837000,157026800,91446300,424805000,153791110,72436500,76352300,35001100,68043500,24179000,57390008,57240800,31596100,44441637,31756700,51000600,30676100
0,4894050000,1012840000,614409761,711615000,506401000,339823000,189723670,310514000,214186000,216096000,216096000,162565400,161656000,10177800,140019240,128250000,107958000,29513500,64383700,20435100,61778027,24172000,51886000,57023540,36502000,29330500,33900648.4
0,5904220000,346819000,876961939,218513000,676545000,318824000,413051000,355036000,171470000,150093000,150093000,195670400,84079600,67253600,119761550,72074100,107776000,34468400,71917400,23762300,67257130,37399900,45809300,62162630,36613800,43260100,28855800
0,4260140000,411479000,463274776,280295000,402276000,469169000,185831300,312368000,200523000,373357000,373357000,147611700,410545000,71230400,156053160,332453000,104494000,40559900,57234100,13648900,68096383,22149700,43421100,40155520,60513500,26375300,33280984
0,4712520000,321506000,812100930,282684000,345012000,388566000,443122000,345534000,174498000,218914000,218914000,152356800,128052000,185788000,127389030,96877800,91496800,37582700,39767000,16959600,62959577,56684100,64630500,64234480,39188100,24636800,30427081
0,5643420000,864905000,636294862,598936000,493260000,532758000,286518510,356801000,283673000,75017500,75017500,166455600,150404000,5960910,104377930,120314000,84374000,57251500,78508200,21802500,47050957,39101800,56546300,46860860,49615600,30924000,39133994.9
0,3609740000,369054000,794060392,297547000,213790000,397708000,333433000,286476000,160266000,294204000,294204000,123561900,179894000,62644200,108239880,148070000,70378800,41772200,40093000,16425900,54979776,55538400,55539600,56442750,47996900,28740700,26030000
0,5189940000,1832160000,830556800,1247700000,563817000,516415000,311142850,326854000,275870000,89113900,89113900,190819100,142520000,49524100,129301340,108198000,86479100,52687400,69815500,17867500,55294113,57437100,50313400,43243560,44645300,45329600,40500700
0,5992450000,448598000,824737784,322210000,332342000,355240000,383847410,408082000,101394000,185390000,185390000,156780500,90446600,211694000,173069860,74412800,92839900,38621800,67547800,19024700,50765777,57722900,61703800,56454950,47400100,22203200,34104400
0,4593850000,568704000,762457257,352043000,695457000,375278000,338600230,301938000,223120000,170997000,170997000,129533400,136559000,96210000,156225900,109432000,76703200,137197000,61533400,97461800,53703486,66551600,42563400,53360540,41801300,43308100,32150647.2
0,3984710000,361520000,660734344,263923000,656938000,311430000,255273630,315058000,263307000,89059300,89059300,163773100,162742000,32136300,105367930,124912000,74752000,39009200,55044000,21274900,47813384,39109800,57914800,34234970,47043700,40949800,38885111
0,5449340000,284026000,1257803531,208295000,497031000,289985000,307879700,372970000,309550000,191993000,191993000,158872600,153955000,471794000,142649000,121592000,81276100,32438500,52785800,27057600,64254093,49889900,57140600,47271363,44085300,41218900,29653994
0,5178530000,799848000,820383145,529881000,383542000,461339000,568955000,380242000,211443000,297498000,297498000,148192400,124475000,428106000,117764060,100297000,75643300,57825100,53415600,73298500,47700819,52743600,42354500,52421490,34800500,28603700,32849496.9
0,5972800000,2533130000,706890002,1352950000,456416000,351307000,301765000,300485000,162969000,202057000,202057000,148474700,156814000,274834000,172388140,125532000,104504000,56646100,56333400,14566000,57393124,62135800,48772900,50947587,43657000,28942100,35321995
1,4049350000,641769000,486485356,404544000,537243000,463031000,516944000,349921000,278331000,116464000,116464000,143111900,160272000,111781000,126669630,133311000,66411800,265940000,79124100,322443000,58829707,50088400,31545100,42500208,68179100,44367900,34099400
1,6274050000,1554540000,945046815,1079650000,483982000,429283000,358081080,373041000,470072000,155353000,155353000,206350400,98865300,3622020,109420320,81882500,115076000,32552100,83135100,23840300,52490621,95945400,48979200,47541410,37380000,51254000,54866197
1,4636110000,731573000,740767307,494329000,430158000,489484000,269625280,354051000,199460000,90341700,90341700,157009500,158464000,9361030,103520010,133732000,102572000,35331800,77488500,19540900,51858408,29356800,56030800,34100912,44847600,39227700,53042589
1,5649040000,1119950000,1287482290,736495000,338221000,688746000,416659000,366041000,279159000,378642000,378642000,142721800,110181000,262893000,132666730,86950600,101758000,48273100,36693900,14196000,55880076,53909200,50438900,47980785,29556900,30010600,54324871
