"col_names","p_values","corrected_p_values"
"ALB",0.809597523219814,0.961300309597523
"HBB",0.184726522187822,0.921052631578947
"IGL1",0.530443756449948,0.961300309597523
"HBA1",0.184726522187822,0.921052631578947
"APOA1",0.664602683178535,0.961300309597523
"TF",0.152218782249742,0.921052631578947
"A2M",0.469040247678019,0.961300309597523
"SERPINA1",0.530443756449948,0.961300309597523
"ICA",0.307017543859649,0.921052631578947
"HPX",0.885448916408669,0.961300309597523
"FGA",0.885448916408669,0.961300309597523
"KNG1",0.961300309597523,0.961300309597523
"FGB",0.885448916408669,0.961300309597523
"HP",0.469040247678019,0.961300309597523
"C3",0.220846233230134,0.921052631578947
"FGG",0.885448916408669,0.961300309597523
"APOH",0.530443756449948,0.961300309597523
"ITIH4",0.961300309597523,0.961300309597523
"GC",0.262125902992776,0.921052631578947
"SERPINA6",0.961300309597523,0.961300309597523
"SERPINA3",0.885448916408669,0.961300309597523
"VNN3",0.885448916408669,0.961300309597523
"A1BG",0.664602683178535,0.961300309597523
"PZP",0.220846233230134,0.921052631578947
"CLU",0.885448916408669,0.961300309597523
"TTR",0.307017543859649,0.921052631578947
"AHSG",0.0139318885448916,0.376160990712074
